Connections for 7_31_21.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/07/31 00:01:00.0000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Fri Jul 23 12:09:15 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start: 2021/07/31 09:42:00.00, Stop: 2021/08/01 09:42:00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis,Rise,Set,Duration,LRO sees Canberra,LRO sees Canberra,TDRS 8 sees Canberra,TDRS 8 sees Canberra,MRO sees Canberra,MRO sees Canberra,TDRS 10 sees Canberra,TDRS 10 sees Canberra,TDRS 12 sees Canberra,TDRS 12 sees Canberra,TDRS 13 sees Canberra,TDRS 13 sees Canberra,LRO sees Goldstone,LRO sees Goldstone,LRO sees Madrid,LRO sees Madrid,LRO sees TDRS 10,LRO sees TDRS 10,LRO sees TDRS 12,LRO sees TDRS 12,LRO sees TDRS 13,LRO sees TDRS 13,LRO sees TDRS 8,LRO sees TDRS 8,MRO sees Goldstone,MRO sees Goldstone,MRO sees Madrid,MRO sees Madrid,MRO sees TDRS 10,MRO sees TDRS 10,MRO sees TDRS 12,MRO sees TDRS 12,MRO sees TDRS 13,MRO sees TDRS 13,MRO sees TDRS 8,MRO sees TDRS 8,TDRS 10 sees Goldstone,TDRS 10 sees Goldstone,TDRS 10 sees Guam,TDRS 10 sees Guam,TDRS 10 sees Madrid,TDRS 10 sees Madrid,TDRS 10 sees TDRS 12,TDRS 10 sees TDRS 12,TDRS 10 sees TDRS 13,TDRS 10 sees TDRS 13,TDRS 10 sees White Sands,TDRS 10 sees White Sands,TDRS 12 sees Goldstone,TDRS 12 sees Goldstone,TDRS 12 sees Guam,TDRS 12 sees Guam,TDRS 12 sees Madrid,TDRS 12 sees Madrid,TDRS 12 sees TDRS 13,TDRS 12 sees TDRS 13,TDRS 12 sees White Sands,TDRS 12 sees White Sands,TDRS 13 sees Goldstone,TDRS 13 sees Goldstone,TDRS 13 sees Guam,TDRS 13 sees Guam,TDRS 13 sees Madrid,TDRS 13 sees Madrid,TDRS 13 sees White Sands,TDRS 13 sees White Sands,TDRS 8 sees Goldstone,TDRS 8 sees Goldstone,TDRS 8 sees Guam,TDRS 8 sees Guam,TDRS 8 sees Madrid,TDRS 8 sees Madrid,TDRS 8 sees TDRS 10,TDRS 8 sees TDRS 10,TDRS 8 sees TDRS 12,TDRS 8 sees TDRS 12,TDRS 8 sees TDRS 13,TDRS 8 sees TDRS 13,TDRS 8 sees White Sands,TDRS 8 sees White Sands,LRO sees MRO,LRO sees MRO
ID,SECONDS,SECONDS,SECONDS,(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set),(Rise),(Set)
LRO sees Canberra,17688.772,22043.829,4355.057,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
LRO sees Canberra,24552.277,28947.769,4395.492,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
LRO sees Canberra,31441.559,35851.067,4409.507,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
LRO sees Canberra,38331.187,42753.383,4422.195,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
LRO sees Canberra,45219.292,49654.866,4435.574,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
LRO sees Canberra,52104.221,56556.138,4451.917,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
TDRS 8 sees Canberra,0,86400,86400,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
MRO sees Canberra,45170.647,47843.407,2672.759,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1
MRO sees Canberra,50344.561,54650.341,4305.78,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1
